,Name,T,dof,alternative,p-val,CI95%,cohen-d,BF10,power
T-test,H2StroopMathStroopDrawResumption Btw Exp and Control,-0.8909708541791214,28,less,0.19026861770427772,[-inf 5.62],0.3253365566090338,0.93,0.21906974471050147
T-test,H2MathStroopMathDrawResumption Btw Exp and Control,-0.8990416885404015,28,less,0.18814866906028943,[-inf 4.43],0.3282836086340744,0.935,0.22140284032753144
T-test,H2StroopMathStroopHanoiResumption Btw Exp and Control,1.2528747938622498,28,less,0.8896930384404979,[-inf 9.27],0.4574851908853262,0.806,0.002064181001575148
T-test,H2MathStroopMathHanoiResumption Btw Exp and Control,-0.2754728829827138,28,less,0.3924878699608,[-inf 5.08],0.10058847466040889,0.709,0.0844146819732138
T-test,H2StroopMathStroopDrawInterruption Btw Exp and Control,-1.2558847546195326,28,less,0.10976831634264064,[-inf 2.26],0.4585842731546389,1.245,0.33749131988305375
T-test,H2MathStroopMathDrawInterruption Btw Exp and Control,0.9368473396601262,28,less,0.8215760093368278,[-inf 5.29],0.3420882805803703,0.96,0.005240548109252015
T-test,H2StroopMathStroopHanoiInterruption Btw Exp and Control,-2.2644462093439017,28,less,0.015740863328359046,[ -inf -1.01],0.8268588460764805,4.401,0.713737180887488
T-test,H2MathStroopMathHanoiInterruption Btw Exp and Control,-0.056679103467502864,28,less,0.4776016792932285,[ -inf 10.97],0.0206962823388804,0.69,0.05597057159697527
T-test,H2StroopMathStroopDrawAccuracy Btw Exp and Control,-1.1961035908539648,28,less,0.12084355567755717,[-inf 0.37],0.43675527854909757,1.179,0.31645348421797626
T-test,H2MathStroopMathDrawAccuracy Btw Exp and Control,-0.7690119052035715,28,less,0.22416242953703847,[-inf 0.57],0.2808034449800137,0.862,0.18557029636135192
T-test,H2StroopMathStroopHanoiAccuracy Btw Exp and Control,-1.3465266222107115,28,less,0.09446618554142605,[-inf  3.3],0.4916820035106957,1.358,0.37036128322921824
T-test,H2MathStroopMathHanoiAccuracy Btw Exp and Control,1.1967330080152623,28,less,0.8792772260832457,[ -inf 16.34],0.43698510920064654,0.848,0.0024514137456477236
T-test,H2StroopMathStroopDrawSpeed Btw Exp and Control,-0.19146356992233043,28,less,0.42477204614151753,[-inf 19.7],0.06991261079128536,0.698,0.07242446511598832
T-test,H2MathStroopMathDrawSpeed Btw Exp and Control,-0.5736527453365455,28,less,0.2853911423695522,[ -inf 12.77],0.20946836586372833,0.781,0.138966826473792
T-test,H2StroopMathStroopHanoiSpeed Btw Exp and Control,-1.2270537212106238,28,less,0.11501006669989716,[ -inf 21.16],0.4480566682518094,1.212,0.32727670057465574
T-test,H2MathStroopMathHanoiSpeed Btw Exp and Control,-0.17614392616117114,28,less,0.43072433791978454,[ -inf 75.21],0.06431866781733186,0.697,0.07038601244495514
