,Name,T,dof,alternative,p-val,CI95%,cohen-d,BF10,power
T-test,ExpH1DrawHanoiDrawStroopResumptionLag,2.421084600165196,14,greater,0.01482301531417316,[4.07  inf],0.5092039213173674,4.628,0.591249429094669
T-test,ExpH1DrawHanoiDrawMathResumptionLag,1.7245794833888506,14,greater,0.05330051515810642,[-0.2  inf],0.3992262579174075,1.739,0.43103858702345454
T-test,ExpH1HanoiDrawHanoiStroopResumptionLag,0.47027424408354945,14,greater,0.3227006350633314,[-4.33   inf],0.18599078706684036,0.578,0.16879354197682261
T-test,ExpH1HanoiDrawHanoiMathResumptionLag,2.0517848694878897,14,greater,0.029692176117849002,[0.86  inf],0.4980756071327361,2.694,0.5752850982392926
T-test,ExpH2StroopMathStroopDrawResumptionLag,2.112645310013271,14,greater,0.02653785918030322,[2.07  inf],0.43252309621309887,2.936,0.47957033834338325
T-test,ExpH2MathStroopMathDrawResumptionLag,1.8984034813456854,14,greater,0.03922625192681486,[0.57  inf],0.3566001668991603,2.182,0.37047487421232805
T-test,ExpH2StroopMathStroopHanoiResumptionLag,2.594606376209063,14,greater,0.010599329042367853,[1.65  inf],0.5039951747995245,6.048,0.5837944228437111
T-test,ExpH2MathStroopMathHanoiResumptionLag,3.3645554664359953,14,greater,0.0023139913124372046,[2.37  inf],0.47572704594557336,21.11,0.5428710544925887
T-test,ExpH1DrawHanoiDrawStroopInterruptionLag,1.5338540677081047,14,greater,0.07367487492240761,[-0.64   inf],0.43416123124348366,1.379,0.4819715246994536
T-test,ExpH1DrawHanoiDrawMathInterruptionLag,3.2899003330089798,14,greater,0.0026845512477929327,[3.2 inf],1.0744873706191893,18.646,0.9894067827178943
T-test,ExpH1HanoiDrawHanoiStroopInterruptionLag,3.4198353310350886,14,greater,0.0020730221825081053,[2.39  inf],0.7584949864597503,23.147,0.8741877847414359
T-test,ExpH1HanoiDrawHanoiMathInterruptionLag,4.832269463405214,14,greater,0.00013297735254578727,[7.64  inf],1.1300016444077188,243.429,0.9939265941039306
T-test,ExpH2StroopMathStroopDrawInterruptionLag,2.6008220332294303,14,greater,0.010471899398232204,[1.04  inf],0.537598449906692,6.107,0.6312400897783649
T-test,ExpH2MathStroopMathDrawInterruptionLag,4.1050113060401285,14,greater,0.0005357974161834752,[4.02  inf],0.6899006786133554,72.958,0.8145082843914674
T-test,ExpH2StroopMathStroopHanoiInterruptionLag,2.80940282470486,14,greater,0.006960125261684724,[1.06  inf],0.7345625594444111,8.499,0.8551048222233621
T-test,ExpH2MathStroopMathHanoiInterruptionLag,-0.08302815779883013,14,greater,0.5324976894201124,[-11.88    inf],0.029106475298836802,0.526,0.039862778643921626
T-test,ExpH1DrawHanoiDrawStroopAccuracy,3.914566923286811,14,greater,0.00077824731206054,[0.79  inf],1.2082851914133206,53.022,0.9973990908223777
T-test,ExpH1DrawHanoiDrawMathAccuracy,1.602526922086014,14,greater,0.06567732794463137,[-0.09   inf],0.40290375582086757,1.496,0.4363619042084761
T-test,ExpH1HanoiDrawHanoiStroopAccuracy,4.430840651669159,14,greater,0.00028499409373957394,[25.81   inf],1.344286951612014,125.623,0.9995016589552721
